,position,goals.min,goals.max,goals.avg,xG.min,xG.max,xG.avg,shots.min,shots.max,shots.avg,assists.min,assists.max,assists.avg,xA.min,xA.max,xA.avg,key_passes.min,key_passes.max,key_passes.avg,xGChain.min,xGChain.max,xGChain.avg,xGBuildup.min,xGBuildup.max,xGBuildup.avg,player_id,player
2,DMC,0.0,0.0044,0.0006,5.01479e-05,0.00359985,0.000667121,0.0016,0.0264,0.0103,0.0,0.0043,0.0006,5.91511e-05,0.00316187,0.000638905,0.0022,0.0281,0.0087,0.000954795,0.00813172,0.00319192,0.000889162,0.00658066,0.0025382,9804,Gavi
3,FWL,0.0012,0.0118,0.0031,0.00174245,0.01055,0.00292459,0.0188,0.0693,0.0268,0.0017,0.0044,0.002,0.00164754,0.00494143,0.00210375,0.0146,0.0312,0.0179,0.00449077,0.0149307,0.00586649,0.00165576,0.00585821,0.00232553,9804,Gavi
4,FWR,0.0021,0.0112,0.0031,0.00177455,0.00935705,0.00297569,0.0216,0.0562,0.0255,0.0014,0.0051,0.002,0.00193369,0.0056116,0.00206886,0.0187,0.0349,0.0179,0.00431047,0.015081,0.00580084,0.00185389,0.00589115,0.00232677,9804,Gavi
5,MC,0.0,0.0052,0.0009,3.3423e-05,0.00370003,0.000922265,0.0012,0.0354,0.0124,0.0,0.0072,0.001,5.26699e-05,0.00467557,0.000968308,0.0021,0.0377,0.0115,0.000853652,0.0121255,0.00367181,0.000641621,0.00805912,0.00256902,9804,Gavi
6,Sub,0.0008,0.016,0.0026,0.00121151,0.014437,0.00274433,0.0089,0.066,0.0249,0.0008,0.009,0.0017,0.000909816,0.00537747,0.00171517,0.0062,0.0369,0.0162,0.00378437,0.0160493,0.00590006,0.000342356,0.00815345,0.0027587,9804,Gavi
0,AMC,0.0003,0.0062,0.0023,0.000660038,0.00498264,0.00219215,0.0111,0.0425,0.0218,0.0003,0.0058,0.0018,0.000711777,0.00459255,0.00184258,0.009,0.0451,0.0186,0.00274983,0.0100706,0.0048801,0.00107182,0.00620643,0.00222072,314,Ilkay Gündogan
1,AML,0.0008,0.0047,0.0021,0.00137774,0.00533042,0.00215884,0.0171,0.0471,0.0219,0.0005,0.0029,0.0016,0.000885481,0.00306393,0.00171637,0.0093,0.0302,0.0158,0.00287228,0.0102763,0.00462947,0.000891701,0.00519737,0.00189168,314,Ilkay Gündogan
2,DMC,0.0,0.0044,0.0006,5.01479e-05,0.00359985,0.000667121,0.0016,0.0264,0.0103,0.0,0.0043,0.0006,5.91511e-05,0.00316187,0.000638905,0.0022,0.0281,0.0087,0.000954795,0.00813172,0.00319192,0.000889162,0.00658066,0.0025382,314,Ilkay Gündogan
3,MC,0.0,0.0052,0.0009,3.3423e-05,0.00370003,0.000922265,0.0012,0.0354,0.0124,0.0,0.0072,0.001,5.26699e-05,0.00467557,0.000968308,0.0021,0.0377,0.0115,0.000853652,0.0121255,0.00367181,0.000641621,0.00805912,0.00256902,314,Ilkay Gündogan
4,Sub,0.0008,0.016,0.0026,0.00121151,0.014437,0.00274433,0.0089,0.066,0.0249,0.0008,0.009,0.0017,0.000909816,0.00537747,0.00171517,0.0062,0.0369,0.0162,0.00378437,0.0160493,0.00590006,0.000342356,0.00815345,0.0027587,314,Ilkay Gündogan
0,AML,0.0008,0.0047,0.0021,0.00137774,0.00533042,0.00215884,0.0171,0.0471,0.0219,0.0005,0.0029,0.0016,0.000885481,0.00306393,0.00171637,0.0093,0.0302,0.0158,0.00287228,0.0102763,0.00462947,0.000891701,0.00519737,0.00189168,9805,Álex Balde
1,DL,0.0,0.0023,0.0003,7.53829e-06,0.00238029,0.000340915,0.0005,0.018,0.0058,0.0,0.0028,0.0008,0.000242894,0.00259094,0.000825722,0.0035,0.0199,0.0088,0.000958841,0.00892891,0.00278695,0.00080249,0.00705833,0.00216948,9805,Álex Balde
2,DML,0.0003,0.0021,0.0006,0.000322617,0.00166107,0.0006048,0.006,0.0235,0.0092,0.0006,0.0012,0.001,0.00082582,0.00156248,0.00107221,0.0094,0.0131,0.0114,0.0030986,0.00483007,0.0030295,0.00197377,0.00270857,0.00194038,9805,Álex Balde
3,DR,0.0,0.0017,0.0003,6.34242e-06,0.00172226,0.000337445,0.0002,0.0149,0.0052,0.0,0.0038,0.0008,0.000161894,0.00253973,0.000805779,0.0029,0.021,0.0082,0.00107244,0.00882197,0.00282332,0.000681187,0.0073707,0.00218809,9805,Álex Balde
4,FWL,0.0012,0.0118,0.0031,0.00174245,0.01055,0.00292459,0.0188,0.0693,0.0268,0.0017,0.0044,0.002,0.00164754,0.00494143,0.00210375,0.0146,0.0312,0.0179,0.00449077,0.0149307,0.00586649,0.00165576,0.00585821,0.00232553,9805,Álex Balde
5,ML,0.0003,0.0032,0.0015,0.000582739,0.00258697,0.00149701,0.0101,0.0261,0.0172,0.0003,0.0041,0.0015,0.000581581,0.00254577,0.00152095,0.009,0.022,0.0149,0.00241614,0.00668257,0.00377472,0.00098706,0.00359707,0.001802,9805,Álex Balde
6,Sub,0.0008,0.016,0.0026,0.00121151,0.014437,0.00274433,0.0089,0.066,0.0249,0.0008,0.009,0.0017,0.000909816,0.00537747,0.00171517,0.0062,0.0369,0.0162,0.00378437,0.0160493,0.00590006,0.000342356,0.00815345,0.0027587,9805,Álex Balde
0,AMC,0.0003,0.0062,0.0023,0.000660038,0.00498264,0.00219215,0.0111,0.0425,0.0218,0.0003,0.0058,0.0018,0.000711777,0.00459255,0.00184258,0.009,0.0451,0.0186,0.00274983,0.0100706,0.0048801,0.00107182,0.00620643,0.00222072,11822,Fermín López
1,FWL,0.0012,0.0118,0.0031,0.00174245,0.01055,0.00292459,0.0188,0.0693,0.0268,0.0017,0.0044,0.002,0.00164754,0.00494143,0.00210375,0.0146,0.0312,0.0179,0.00449077,0.0149307,0.00586649,0.00165576,0.00585821,0.00232553,11822,Fermín López
