h_a,minute,xG,running_sum_xG
Barcelona,61,0.0,0.964233435690403
Barcelona,62,0.0,0.964233435690403
Barcelona,63,0.0,0.964233435690403
Barcelona,64,0.0977792888879776,1.0620127245783806
Barcelona,65,0.0,1.0620127245783806
Barcelona,66,0.0,1.0620127245783806
Barcelona,67,0.0,1.0620127245783806
Barcelona,68,0.0,1.0620127245783806
Barcelona,69,0.0,1.0620127245783806
Barcelona,70,0.0,1.0620127245783806
Barcelona,71,0.0,1.0620127245783806
Barcelona,72,0.0,1.0620127245783806
Barcelona,73,0.0,1.0620127245783806
Barcelona,74,0.0,1.0620127245783806
Barcelona,75,0.0,1.0620127245783806
Barcelona,76,0.0,1.0620127245783806
Barcelona,77,0.0,1.0620127245783806
Barcelona,78,0.026943601667881012,1.0889563262462616
Barcelona,79,0.04295586794614792,1.1319121941924095
Barcelona,80,0.0,1.1319121941924095
Barcelona,81,0.0,1.1319121941924095
Barcelona,82,0.0,1.1319121941924095
Barcelona,83,0.0,1.1319121941924095
Barcelona,84,0.0,1.1319121941924095
Barcelona,85,0.10906880162656307,1.2409809958189726
Barcelona,86,0.0,1.2409809958189726
Barcelona,87,0.0,1.2409809958189726
Barcelona,88,0.0,1.2409809958189726
Barcelona,89,0.0,1.2409809958189726
Barcelona,90,0.0,1.2409809958189726
Barcelona,91,0.0,1.2409809958189726
Barcelona,92,0.0,1.2409809958189726
Barcelona,93,0.0,1.2409809958189726
Barcelona,94,0.0,1.2409809958189726
Barcelona,95,0.09046405926346779,1.3314450550824404
Real Madrid,0,0.0,0.0
Real Madrid,1,0.0,0.0
Real Madrid,2,0.0,0.0
Real Madrid,3,0.0,0.0
Real Madrid,4,0.0,0.0
Real Madrid,5,0.0,0.0
Real Madrid,6,0.0,0.0
Real Madrid,7,0.0,0.0
Real Madrid,8,0.0,0.0
Real Madrid,9,0.0,0.0
Real Madrid,10,0.0,0.0
Real Madrid,11,0.0,0.0
Real Madrid,12,0.05580964311957359,0.05580964311957359
Real Madrid,13,0.0,0.05580964311957359
Real Madrid,14,0.0,0.05580964311957359
Real Madrid,15,0.0,0.05580964311957359
Real Madrid,16,0.0,0.05580964311957359
Real Madrid,17,0.0,0.05580964311957359
Real Madrid,18,0.0,0.05580964311957359
Real Madrid,19,0.0,0.05580964311957359
Real Madrid,20,0.0,0.05580964311957359
Real Madrid,21,0.04778460972011089,0.10359425283968449
Real Madrid,22,0.0,0.10359425283968449
Real Madrid,23,0.0,0.10359425283968449
Real Madrid,24,0.0,0.10359425283968449
Real Madrid,25,0.0,0.10359425283968449
Real Madrid,26,0.0,0.10359425283968449
Real Madrid,27,0.0,0.10359425283968449
Real Madrid,28,0.0,0.10359425283968449
Real Madrid,29,0.0,0.10359425283968449
Real Madrid,30,0.0,0.10359425283968449
Real Madrid,31,0.0,0.10359425283968449
Real Madrid,32,0.0,0.10359425283968449
Real Madrid,33,0.0,0.10359425283968449
Real Madrid,34,0.0,0.10359425283968449
Real Madrid,35,0.0,0.10359425283968449
Real Madrid,36,0.0,0.10359425283968449
Real Madrid,37,0.04960490018129349,0.15319915302097797
Real Madrid,38,0.0,0.15319915302097797
Real Madrid,39,0.0,0.15319915302097797
Real Madrid,40,0.0,0.15319915302097797
Real Madrid,41,0.0,0.15319915302097797
Real Madrid,42,0.023411521688103676,0.17661067470908165
Real Madrid,43,0.0,0.17661067470908165
Real Madrid,44,0.0,0.17661067470908165
Real Madrid,45,0.0,0.17661067470908165
Real Madrid,46,0.06460857391357422,0.24121924862265587
Real Madrid,47,0.0,0.24121924862265587
Real Madrid,48,0.0,0.24121924862265587
Real Madrid,49,0.0,0.24121924862265587
Real Madrid,50,0.0,0.24121924862265587
Real Madrid,51,0.0,0.24121924862265587
Real Madrid,52,0.0,0.24121924862265587
Real Madrid,53,0.0,0.24121924862265587
Real Madrid,54,0.0,0.24121924862265587
Real Madrid,55,0.0,0.24121924862265587
Real Madrid,56,0.0,0.24121924862265587
Real Madrid,57,0.026225004345178604,0.2674442529678345
Real Madrid,58,0.0,0.2674442529678345
Real Madrid,59,0.0,0.2674442529678345
Real Madrid,60,0.0,0.2674442529678345
Real Madrid,61,0.0,0.2674442529678345
Real Madrid,62,0.0,0.2674442529678345
Real Madrid,63,0.0,0.2674442529678345
Real Madrid,64,0.0,0.2674442529678345
Real Madrid,65,0.0,0.2674442529678345
Real Madrid,66,0.01309794932603836,0.28054220229387283
Real Madrid,67,0.04003780148923397,0.3205800037831068
Real Madrid,68,0.0,0.3205800037831068
Real Madrid,69,0.0,0.3205800037831068
Real Madrid,70,0.0,0.3205800037831068
Real Madrid,71,0.05323920026421547,0.3738192040473223
Real Madrid,72,0.0,0.3738192040473223
Real Madrid,73,0.0,0.3738192040473223
Real Madrid,74,0.0,0.3738192040473223
Real Madrid,75,0.015305796638131142,0.3891250006854534
Real Madrid,76,0.0,0.3891250006854534
Real Madrid,77,0.0,0.3891250006854534
Real Madrid,78,0.0,0.3891250006854534
Real Madrid,79,0.0,0.3891250006854534
