game_id,event_id,period_id,team_id,player_id,type_id,timestamp,minute,second,outcome,start_x,start_y,end_x,end_y,qualifiers,related_player_id,touch,goal,shot,type_name
1734996,2609527329,1,52,31772.0,1,2023-10-28 15:15:55,0,55,True,32.3,91.7,37.4,80.1,"{213: '5.31', 178: True, 140: '37.4', 141: '80.1', 56: 'Back', 212: '9.5'}",,True,False,False,pass
1734996,2609527463,1,52,379868.0,1,2023-10-28 15:15:56,0,56,True,36.8,80.0,24.4,81.0,"{141: '81.0', 212: '13.0', 213: '3.09', 56: 'Back', 178: True, 140: '24.4'}",,True,False,False,pass
1734996,2609527521,1,52,39722.0,1,2023-10-28 15:16:00,1,0,True,23.1,83.3,31.3,79.8,"{213: '6.01', 212: '8.9', 56: 'Back', 141: '79.8', 140: '31.3', 178: True}",,True,False,False,pass
1734996,2609527553,1,52,379868.0,1,2023-10-28 15:16:00,1,0,True,31.9,81.8,23.9,85.3,"{178: True, 213: '2.87', 141: '85.3', 56: 'Back', 212: '8.7', 140: '23.9', 156: True}",,True,False,False,pass
1734996,2609527779,1,52,39722.0,1,2023-10-28 15:16:03,1,3,False,24.9,89.0,77.8,100.0,"{155: True, 212: '56.2', 141: '100.0', 56: 'Left', 178: True, 213: '0.16', 140: '77.8', 1: True}",,True,False,False,pass
1734996,2609528757,1,65,384711.0,1,2023-10-28 15:16:29,1,29,True,16.0,0.0,23.1,2.9,"{107: True, 141: '2.9', 56: 'Back', 212: '8.0', 213: '0.37', 140: '23.1'}",,True,False,False,pass
1734996,2609528817,1,65,463838.0,1,2023-10-28 15:16:30,1,30,True,23.2,3.2,17.5,2.6,"{212: '6.0', 141: '2.6', 178: True, 56: 'Back', 213: '3.21', 140: '17.5'}",,True,False,False,pass
1734996,2609528867,1,65,384711.0,1,2023-10-28 15:16:31,1,31,False,17.5,2.6,21.5,7.6,"{213: '0.68', 141: '7.6', 212: '5.4', 155: True, 56: 'Back', 178: True, 140: '21.5'}",,True,False,False,pass
1734996,2609528835,1,52,31772.0,44,2023-10-28 15:16:32,1,32,True,75.0,90.8,75.0,90.8,"{233: '18', 56: 'Left', 286: True}",,False,False,False,aerial
1734996,2609528899,1,65,422937.0,44,2023-10-28 15:16:32,1,32,False,25.0,9.2,25.0,9.2,"{56: 'Back', 233: '21', 285: True}",,False,False,False,aerial
1734996,2609528881,1,52,31772.0,1,2023-10-28 15:16:32,1,32,False,73.4,89.8,76.1,82.2,"{141: '82.2', 140: '76.1', 3: True, 212: '5.9', 213: '5.21', 56: 'Left'}",,True,False,False,pass
1734996,2609529049,1,65,384711.0,1,2023-10-28 15:16:33,1,33,False,24.2,15.5,45.3,6.4,"{56: 'Back', 1: True, 178: True, 212: '23.0', 141: '6.4', 140: '45.3', 213: '6.01'}",,True,False,False,pass
1734996,2609529123,1,52,39722.0,1,2023-10-28 15:16:37,1,37,False,52.5,90.4,56.1,100.0,"{56: 'Left', 212: '8.7', 140: '56.1', 178: True, 213: '1.12', 141: '100.0'}",,True,False,False,pass
