match_id,competition,matchday,date,home_team,away_team,match_ended_in,home_score,away_score,winner
2419641,LaLiga,10,1935-02-03,Real Madrid,FC Barcelona,Main time,8,2,Real Madrid
2419779,LaLiga,13,1934-01-28,Real Madrid,FC Barcelona,Main time,4,0,Real Madrid
2419734,LaLiga,4,1933-11-26,FC Barcelona,Real Madrid,Main time,1,2,Real Madrid
2419879,LaLiga,15,1933-03-05,Real Madrid,FC Barcelona,Main time,2,1,Real Madrid
2419834,LaLiga,6,1933-01-01,FC Barcelona,Real Madrid,Main time,1,1,Draw
2419985,LaLiga,18,1932-04-03,FC Barcelona,Real Madrid,Main time,2,2,Draw
2419940,LaLiga,9,1932-01-31,Real Madrid,FC Barcelona,Main time,2,0,Real Madrid
2420075,LaLiga,18,1931-04-05,FC Barcelona,Real Madrid,Main time,3,1,FC Barcelona
2420030,LaLiga,9,1931-02-01,Real Madrid,FC Barcelona,Main time,0,0,Draw
2420165,LaLiga,18,1930-03-30,Real Madrid,FC Barcelona,Main time,5,1,Real Madrid
2420120,LaLiga,9,1930-01-26,FC Barcelona,Real Madrid,Main time,1,4,Real Madrid
2420222,LaLiga,11,1929-05-09,Real Madrid,FC Barcelona,Main time,0,1,FC Barcelona
2420174,LaLiga,2,1929-02-17,FC Barcelona,Real Madrid,Main time,1,2,Real Madrid
3486449,Copa del Rey,Quarter-Finals,1926-04-25,FC Barcelona,Real Madrid,Main time,3,0,FC Barcelona
3486445,Copa del Rey,Quarter-Finals,1926-04-18,Real Madrid,FC Barcelona,Main time,1,5,FC Barcelona
3844651,Copa del Rey,semi-finals,1916-04-15,Madrid CF,FC Barcelona,Extra time,4,2,Real Madrid
3844650,Copa del Rey,semi-finals,1916-04-13,Madrid CF,FC Barcelona,Extra time,6,6,Draw
3844649,Copa del Rey,Semi-Finals,1916-04-02,Madrid CF,FC Barcelona,Main time,4,1,Real Madrid
3844648,Copa del Rey,Semi-Finals,1916-03-26,FC Barcelona,Madrid CF,Main time,2,1,FC Barcelona
3843195,Copa del Rey,Semi-Finals,1902-05-13,FC Barcelona,Madrid CF,Main time,3,1,FC Barcelona
