,index,id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
10,10,545530,85,MissedShots,0.805,0.720999984741211,0.02325536124408245,Lamine Yamal,h,11527,OpenPlay,2023,LeftFoot,22787,Barcelona,Real Madrid,1,2,2023-10-28 14:15:00,Raphinha,Pass
11,11,545531,85,SavedShot,0.8819999694824219,0.40400001525878904,0.08581344038248062,Raphinha,h,8026,OpenPlay,2023,LeftFoot,22787,Barcelona,Real Madrid,1,2,2023-10-28 14:15:00,Lamine Yamal,Rebound
12,12,545533,95,BlockedShot,0.825,0.6120000076293945,0.045056793838739395,Oriol Romeu,h,842,OpenPlay,2023,LeftFoot,22787,Barcelona,Real Madrid,1,2,2023-10-28 14:15:00,,None
13,13,545534,95,BlockedShot,0.8109999847412109,0.44299999237060544,0.045407265424728394,Raphinha,h,8026,OpenPlay,2023,LeftFoot,22787,Barcelona,Real Madrid,1,2,2023-10-28 14:15:00,,Rebound
14,0,545509,12,BlockedShot,0.8109999847412109,0.5020000076293946,0.05580964311957359,Vinícius Júnior,a,7008,OpenPlay,2023,RightFoot,22787,Barcelona,Real Madrid,1,2,2023-10-28 14:15:00,Rodrygo,Pass
15,1,545511,21,BlockedShot,0.845,0.29600000381469727,0.0332777202129364,Federico Valverde,a,6241,OpenPlay,2023,RightFoot,22787,Barcelona,Real Madrid,1,2,2023-10-28 14:15:00,,None
16,2,545512,21,MissedShots,0.69,0.485,0.014506889507174492,Antonio Rüdiger,a,1822,OpenPlay,2023,RightFoot,22787,Barcelona,Real Madrid,1,2,2023-10-28 14:15:00,Toni Kroos,Pass
17,3,545514,37,MissedShots,0.9640000152587891,0.32299999237060545,0.04960490018129349,Daniel Carvajal,a,2260,OpenPlay,2023,RightFoot,22787,Barcelona,Real Madrid,1,2,2023-10-28 14:15:00,Toni Kroos,Chipped
18,4,545516,42,BlockedShot,0.8180000305175781,0.7269999694824218,0.023411521688103676,Toni Kroos,a,2369,OpenPlay,2023,LeftFoot,22787,Barcelona,Real Madrid,1,2,2023-10-28 14:15:00,Vinícius Júnior,Pass
19,5,545518,46,MissedShots,0.919000015258789,0.34900001525878904,0.06460857391357422,Rodrygo,a,8015,OpenPlay,2023,RightFoot,22787,Barcelona,Real Madrid,1,2,2023-10-28 14:15:00,Federico Valverde,Chipped
20,6,545521,57,SavedShot,0.759000015258789,0.505,0.026225004345178604,Toni Kroos,a,2369,OpenPlay,2023,RightFoot,22787,Barcelona,Real Madrid,1,2,2023-10-28 14:15:00,Eduardo Camavinga,Pass
21,7,545523,66,SavedShot,0.7069999694824218,0.7219999694824218,0.01309794932603836,Aurelien Tchouameni,a,6560,OpenPlay,2023,RightFoot,22787,Barcelona,Real Madrid,1,2,2023-10-28 14:15:00,Vinícius Júnior,Pass
22,8,545524,67,BlockedShot,0.8209999847412109,0.735999984741211,0.025044899433851242,Vinícius Júnior,a,7008,FromCorner,2023,RightFoot,22787,Barcelona,Real Madrid,1,2,2023-10-28 14:15:00,Eduardo Camavinga,Pass
23,9,545525,67,Goal,0.7269999694824218,0.4879999923706055,0.014992902055382729,Jude Bellingham,a,8824,OpenPlay,2023,RightFoot,22787,Barcelona,Real Madrid,1,2,2023-10-28 14:15:00,,None
24,10,545526,71,MissedShots,0.8859999847412109,0.61,0.05323920026421547,Joselu,a,866,OpenPlay,2023,RightFoot,22787,Barcelona,Real Madrid,1,2,2023-10-28 14:15:00,Antonio Rüdiger,Cross
25,11,545527,75,BlockedShot,0.7340000152587891,0.49700000762939456,0.015305796638131142,Federico Valverde,a,6241,SetPiece,2023,RightFoot,22787,Barcelona,Real Madrid,1,2,2023-10-28 14:15:00,David Alaba,Foul
26,12,545532,91,Goal,0.9540000152587891,0.49,0.5702791810035706,Jude Bellingham,a,8824,OpenPlay,2023,RightFoot,22787,Barcelona,Real Madrid,1,2,2023-10-28 14:15:00,Luka Modric,BallTouch
