,id,isResult,side,datetime,result,h.id,h.title,h.short_title,a.id,a.title,a.short_title,goals.h,goals.a,xG.h,xG.a,forecast.w,forecast.d,forecast.l
30,1702,True,a,2016-04-02 22:30:00,w,148,Barcelona,BAR,150,Real Madrid,RMA,1,2,0.882445,1.56537,0.21203462584548385,0.254110037179958,0.5338553368274969
31,1710,True,h,2016-04-09 18:00:00,w,150,Real Madrid,RMA,156,Eibar,EIB,4,0,2.83938,1.60526,0.6328652673062828,0.16774699999617554,0.19938739173761177
32,1720,True,a,2016-04-16 18:00:00,w,142,Getafe,GET,150,Real Madrid,RMA,1,5,1.0366,3.07047,0.09415342344521628,0.12858896065840833,0.7772567261598164
33,1736,True,h,2016-04-21 00:00:00,w,150,Real Madrid,RMA,154,Villarreal,VIL,3,0,1.75884,0.226133,0.7603142054399924,0.19770583070991954,0.04197996314501011
34,1740,True,a,2016-04-23 18:00:00,w,145,Rayo Vallecano,RVL,150,Real Madrid,RMA,2,3,1.56205,2.6433,0.21432883351279744,0.17816265443771798,0.6075083722078316
35,1750,True,a,2016-04-30 18:00:00,w,140,Real Sociedad,SOC,150,Real Madrid,RMA,0,1,0.496976,1.58863,0.11283085141439325,0.24345824059891236,0.6437109078072123
36,1765,True,h,2016-05-08 19:00:00,w,150,Real Madrid,RMA,146,Valencia,VAL,3,2,2.52264,2.3222,0.44232562076646453,0.18596813606103899,0.37170613868197466
37,1770,True,a,2016-05-14 19:00:00,w,139,Deportivo La Coruna,DEP,150,Real Madrid,RMA,0,2,0.651269,1.90958,0.11875259671087426,0.20762765278210785,0.6736197484032893
0,1785,True,a,2016-08-21 22:15:00,w,140,Real Sociedad,SOC,150,Real Madrid,RMA,0,3,0.270003,2.73735,0.021417902719538976,0.09327998493302024,0.8853018960293849
1,1793,True,h,2016-08-27 22:15:00,w,150,Real Madrid,RMA,152,Celta Vigo,CEL,2,1,2.02091,0.241185,0.8029853869187966,0.16141751488931744,0.035597093754166885
2,1801,True,h,2016-09-10 18:00:00,w,150,Real Madrid,RMA,157,Osasuna,OSA,5,2,3.7979,1.03534,0.8552287634253126,0.08736338248108724,0.05739682251942665
3,1817,True,a,2016-09-18 22:45:00,w,141,Espanyol,ESP,150,Real Madrid,RMA,0,2,0.830388,1.23959,0.24840280169293705,0.2935843785099843,0.4580128197910427
